infinitive	english	perfectum	imperfectum	sentence_singular_nl	sentence_singular_en	sentence_plural_nl	sentence_plural_en
zijn	to be	is/zijn geweest	was · waren	Ik was gisteren moe.	I was tired yesterday.	Wij waren samen op school.	We were at school together.
hebben	to have	heeft/hebben gehad	had · hadden	Ik had geen tijd.	I had no time.	Zij hadden veel vragen.	They had many questions.
worden	to become	is/zijn geworden	werd · werden	Hij werd arts.	He became a doctor.	Wij werden goede vrienden.	We became good friends.
gaan	to go	is/zijn gegaan	ging · gingen	Ik ging te voet.	I went on foot.	Zij gingen met de bus.	They went by bus.
komen	to come	is/zijn gekomen	kwam · kwamen	Hij kwam uit Berlijn.	He came from Berlin.	Wij kwamen te laat.	We came too late.
blijven	to stay	is/zijn gebleven	bleef · bleven	Ik bleef thuis.	I stayed home.	Jullie bleven een week langer.	You stayed a week longer.
zitten	to sit	heeft/hebben gezeten	zat · zaten	Ik zat bij het raam.	I sat by the window.	Zij zaten in de zaal.	They sat in the hall.
staan	to stand	heeft/hebben gestaan	stond · stonden	Hij stond in de rij.	He stood in line.	Wij stonden op het perron.	We stood on the platform.
liggen	to lie	heeft/hebben gelegen	lag · lagen	Het boek lag op tafel.	The book lay on the table.	De sleutels lagen in de la.	The keys lay in the drawer.
lopen	to walk	is/heeft gelopen	liep · liepen	Ik liep naar huis.	I walked home.	Zij liepen door het park.	They walked through the park.
doen	to do	heeft/hebben gedaan	deed · deden	Ik deed mijn best.	I did my best.	Wij deden het samen.	We did it together.
maken	to make	heeft/hebben gemaakt	maakte · maakten	Zij maakte soep.	She made soup.	Zij maakten veel lawaai.	They made a lot of noise.
zeggen	to say	heeft/hebben gezegd	zei · zeiden	Hij zei de waarheid.	He told the truth.	Wij zeiden het nog een keer.	We said it again.
geven	to give	heeft/hebben gegeven	gaf · gaven	Ik gaf haar een cadeau.	I gave her a present.	Wij gaven geld aan het goede doel.	We gave money to charity.
nemen	to take	heeft/hebben genomen	nam · namen	Jij nam de verkeerde afslag.	You took the wrong exit.	Wij namen een taxi.	We took a taxi.
zien	to see	heeft/hebben gezien	zag · zagen	Ik zag een regenboog.	I saw a rainbow.	Zij zagen de film al.	They had already seen the film.
weten	to know	heeft/hebben geweten	wist · wisten	Hij wist het antwoord.	He knew the answer.	Wij wisten niet waar we moesten zijn.	We did not know where we had to be.
vinden	to find	heeft/hebben gevonden	vond · vonden	Ik vond mijn sleutel.	I found my key.	Zij vonden geen plek.	They found no spot.
denken	to think	heeft/hebben gedacht	dacht · dachten	Ik dacht aan jou.	I thought of you.	Wij dachten aan een oplossing.	We thought of a solution.
laten	to let	heeft/hebben gelaten	liet · lieten	Hij liet de deur open.	He left the door open.	Wij lieten de kinderen spelen.	We let the children play.
willen	to want	heeft/hebben willen (+ werkwoord)	wilde · wilden	Ik wilde graag helpen.	I wanted to help.	Wij wilden naar het strand.	We wanted to go to the beach.
moeten	to have to	heeft/hebben moeten (+ werkwoord)	moest · moesten	Ik moest overwerken.	I had to work overtime.	Wij moesten opschieten.	We had to hurry.
kunnen	to be able to	heeft/hebben kunnen (+ werkwoord)	kon · konden	Ik kon niet komen.	I could not come.	Wij konden elkaar niet horen.	We could not hear each other.
mogen	to be allowed to	heeft/hebben mogen (+ werkwoord)	mocht · mochten	Ik mocht niet roken.	I was not allowed to smoke.	Wij mochten blijven slapen.	We were allowed to stay the night.
brengen	to bring	heeft/hebben gebracht	bracht · brachten	Ik bracht koffie mee.	I brought coffee along.	Zij brachten bloemen mee.	They brought flowers.
halen	to fetch	heeft/hebben gehaald	haalde · haalden	Hij haalde de kinderen op.	He picked up the children.	Wij haalden brood bij de bakker.	We fetched bread from the baker.
houden	to hold	heeft/hebben gehouden	hield · hielden	Ik hield zijn hand vast.	I held his hand.	Zij hielden een toespraak.	They gave a speech.
kopen	to buy	heeft/hebben gekocht	kocht · kochten	Zij kocht een fiets.	She bought a bicycle.	Zij kochten een huis.	They bought a house.
verkopen	to sell	heeft/hebben verkocht	verkocht · verkochten	Hij verkocht zijn auto.	He sold his car.	Zij verkochten oude boeken.	They sold old books.
betalen	to pay	heeft/hebben betaald	betaalde · betaalden	Ik betaalde contant.	I paid in cash.	Wij betaalden de rekening.	We paid the bill.
werken	to work	heeft/hebben gewerkt	werkte · werkten	Ik werkte in een ziekenhuis.	I worked in a hospital.	Wij werkten in hetzelfde team.	We worked on the same team.
spelen	to play	heeft/hebben gespeeld	speelde · speelden	Hij speelde gitaar.	He played guitar.	Zij speelden een wedstrijd.	They played a match.
leren	to learn	heeft/hebben geleerd	leerde · leerden	Ik leerde Nederlands.	I learned Dutch.	Wij leerden elkaar kennen op school.	We got to know each other at school.
