emoji,infinitive,english,french,perfectum,imperfectum,sentence_singular_nl,sentence_singular_en,sentence_singular_fr,sentence_plural_nl,sentence_plural_en,sentence_plural_fr
✨,zijn,to be,être,is/zijn geweest,was · waren,Ik was gisteren moe.,I was tired yesterday.,J'étais fatigué hier.,Wij waren samen op school.,We were at school together.,Nous étions à l'école ensemble.
🤲,hebben,to have,avoir,heeft/hebben gehad,had · hadden,Ik had geen tijd.,I had no time.,Je n'avais pas le temps.,Zij hadden veel vragen.,They had many questions.,Elles avaient beaucoup de questions.
🦋,worden,to become,devenir,is/zijn geworden,werd · werden,Hij werd arts.,He became a doctor.,Il est devenu médecin.,Wij werden goede vrienden.,We became good friends.,Nous sommes devenus de bons amis.
🚶,gaan,to go,aller,is/zijn gegaan,ging · gingen,Ik ging te voet.,I went on foot.,Je suis allé à pied.,Zij gingen met de bus.,They went by bus.,Elles sont allées en bus.
🚪,komen,to come,venir,is/zijn gekomen,kwam · kwamen,Hij kwam uit Berlijn.,He came from Berlin.,Il venait de Berlin.,Wij kwamen te laat.,We came too late.,Nous sommes arrivés trop tard.
🏠,blijven,to stay,rester,is/zijn gebleven,bleef · bleven,Ik bleef thuis.,I stayed home.,Je suis resté chez moi.,Jullie bleven een week langer.,You stayed a week longer.,Vous êtes restés une semaine de plus.
🪑,zitten,to sit,être assis,heeft/hebben gezeten,zat · zaten,Ik zat bij het raam.,I sat by the window.,J'étais près de la fenêtre.,Zij zaten in de zaal.,They sat in the hall.,Elles étaient dans la salle.
🧍,staan,to stand,être debout,heeft/hebben gestaan,stond · stonden,Hij stond in de rij.,He stood in line.,Il faisait la queue.,Wij stonden op het perron.,We stood on the platform.,Nous étions sur le quai.
🛏️,liggen,to lie,être couché,heeft/hebben gelegen,lag · lagen,Het boek lag op tafel.,The book lay on the table.,Le livre était sur la table.,De sleutels lagen in de la.,The keys lay in the drawer.,Les clés étaient dans le tiroir.
🚶‍♂️,lopen,to walk,marcher,is/heeft gelopen,liep · liepen,Ik liep naar huis.,I walked home.,Je suis rentré à pied.,Zij liepen door het park.,They walked through the park.,Elles ont traversé le parc.
✅,doen,to do,faire,heeft/hebben gedaan,deed · deden,Ik deed mijn best.,I did my best.,J'ai fait de mon mieux.,Wij deden het samen.,We did it together.,Nous l'avons fait ensemble.
🔨,maken,to make,fabriquer / faire,heeft/hebben gemaakt,maakte · maakten,Zij maakte soep.,She made soup.,Elle a fait de la soupe.,Zij maakten veel lawaai.,They made a lot of noise.,Elles ont fait beaucoup de bruit.
💬,zeggen,to say,dire,heeft/hebben gezegd,zei · zeiden,Hij zei de waarheid.,He told the truth.,Il a dit la vérité.,Wij zeiden het nog een keer.,We said it again.,Nous l'avons répété.
🎁,geven,to give,donner,heeft/hebben gegeven,gaf · gaven,Ik gaf haar een cadeau.,I gave her a present.,Je lui ai offert un cadeau.,Wij gaven geld aan het goede doel.,We gave money to charity.,Nous avons donné à une association.
✋,nemen,to take,prendre,heeft/hebben genomen,nam · namen,Jij nam de verkeerde afslag.,You took the wrong exit.,Tu as pris la mauvaise sortie.,Wij namen een taxi.,We took a taxi.,Nous avons pris un taxi.
👁️,zien,to see,voir,heeft/hebben gezien,zag · zagen,Ik zag een regenboog.,I saw a rainbow.,J'ai vu un arc-en-ciel.,Zij zagen de film al.,They had already seen the film.,Elles avaient déjà vu le film.
🧠,weten,to know,savoir,heeft/hebben geweten,wist · wisten,Hij wist het antwoord.,He knew the answer.,Il connaissait la réponse.,Wij wisten niet waar we moesten zijn.,We did not know where we had to be.,Nous ne savions pas où aller.
🔍,vinden,to find,trouver,heeft/hebben gevonden,vond · vonden,Ik vond mijn sleutel.,I found my key.,J'ai retrouvé ma clé.,Zij vonden geen plek.,They found no spot.,Elles n'ont trouvé aucune place.
💭,denken,to think,penser,heeft/hebben gedacht,dacht · dachten,Ik dacht aan jou.,I thought of you.,Je pensais à toi.,Wij dachten aan een oplossing.,We thought of a solution.,Nous cherchions une solution.
🔓,laten,to let,laisser,heeft/hebben gelaten,liet · lieten,Hij liet de deur open.,He left the door open.,Il a laissé la porte ouverte.,Wij lieten de kinderen spelen.,We let the children play.,Nous avons laissé les enfants jouer.
❤️,willen,to want,vouloir,heeft/hebben willen (+ werkwoord),wilde · wilden,Ik wilde graag helpen.,I wanted to help.,Je voulais aider.,Wij wilden naar het strand.,We wanted to go to the beach.,Nous voulions aller à la plage.
⚠️,moeten,to have to,devoir,heeft/hebben moeten (+ werkwoord),moest · moesten,Ik moest overwerken.,I had to work overtime.,Je devais faire des heures sup.,Wij moesten opschieten.,We had to hurry.,Nous devions nous dépêcher.
💪,kunnen,to be able to,pouvoir,heeft/hebben kunnen (+ werkwoord),kon · konden,Ik kon niet komen.,I could not come.,Je ne pouvais pas venir.,Wij konden elkaar niet horen.,We could not hear each other.,Nous ne pouvions pas nous entendre.
🎫,mogen,to be allowed to,avoir le droit de,heeft/hebben mogen (+ werkwoord),mocht · mochten,Ik mocht niet roken.,I was not allowed to smoke.,Je n'avais pas le droit de fumer.,Wij mochten blijven slapen.,We were allowed to stay the night.,Nous avons pu dormir sur place.
📦,brengen,to bring,apporter,heeft/hebben gebracht,bracht · brachten,Ik bracht koffie mee.,I brought coffee along.,J'ai apporté du café.,Zij brachten bloemen mee.,They brought flowers.,Elles ont apporté des fleurs.
🔄,halen,to fetch,aller chercher,heeft/hebben gehaald,haalde · haalden,Hij haalde de kinderen op.,He picked up the children.,Il est allé chercher les enfants.,Wij haalden brood bij de bakker.,We fetched bread from the baker.,Nous avons pris du pain chez le boulanger.
🤝,houden,to hold,tenir,heeft/hebben gehouden,hield · hielden,Ik hield zijn hand vast.,I held his hand.,Je lui tenais la main.,Zij hielden een toespraak.,They gave a speech.,Elles ont prononcé un discours.
🛒,kopen,to buy,acheter,heeft/hebben gekocht,kocht · kochten,Zij kocht een fiets.,She bought a bicycle.,Elle a acheté un vélo.,Zij kochten een huis.,They bought a house.,Elles ont acheté une maison.
🏷️,verkopen,to sell,vendre,heeft/hebben verkocht,verkocht · verkochten,Hij verkocht zijn auto.,He sold his car.,Il a vendu sa voiture.,Zij verkochten oude boeken.,They sold old books.,Elles ont vendu de vieux livres.
💶,betalen,to pay,payer,heeft/hebben betaald,betaalde · betaalden,Ik betaalde contant.,I paid in cash.,J'ai payé en espèces.,Wij betaalden de rekening.,We paid the bill.,Nous avons payé l'addition.
💼,werken,to work,travailler,heeft/hebben gewerkt,werkte · werkten,Ik werkte in een ziekenhuis.,I worked in a hospital.,Je travaillais à l'hôpital.,Wij werkten in hetzelfde team.,We worked on the same team.,Nous étions dans la même équipe.
🎮,spelen,to play,jouer,heeft/hebben gespeeld,speelde · speelden,Hij speelde gitaar.,He played guitar.,Il jouait de la guitare.,Zij speelden een wedstrijd.,They played a match.,Elles ont joué un match.
📚,leren,to learn,apprendre,heeft/hebben geleerd,leerde · leerden,Ik leerde Nederlands.,I learned Dutch.,J'apprenais le néerlandais.,Wij leerden elkaar kennen op school.,We got to know each other at school.,Nous nous sommes connus à l'école.
🎓,studeren,to study,,heeft/hebben gestudeerd,studeerde · studeerden,Jij studeerde medicijnen.,You studied medicine.,,Zij studeerden in Leiden.,They studied in Leiden.,
🏘️,wonen,to live,habiter,heeft/hebben gewoond,woonde · woonden,Ik woonde bij mijn ouders.,I lived with my parents.,Je vivais chez mes parents.,Wij woonden jaren in Utrecht.,We lived in Utrecht for years.,Nous avons vécu des années à Utrecht.
📖,lezen,to read,lire,heeft/hebben gelezen,las · lazen,Ik las elke avond een boek.,I read a book every evening.,Je lisais un livre chaque soir.,Wij lazen het hele artikel.,We read the whole article.,Nous avons lu tout l'article.
✍️,schrijven,to write,écrire,heeft/hebben geschreven,schreef · schreven,Hij schreef een brief.,He wrote a letter.,Il a écrit une lettre.,Zij schreven hun naam.,They wrote their name.,Elles ont écrit leur nom.
🗣️,spreken,to speak,parler,heeft/hebben gesproken,sprak · spraken,Ik sprak Nederlands met haar.,I spoke Dutch with her.,Je parlais néerlandais avec elle.,Wij spraken af bij het station.,We arranged to meet at the station.,Nous nous sommes donnés rendez-vous à la gare.
👂,luisteren,to listen,écouter,heeft/hebben geluisterd,luisterde · luisterden,Jij luisterde naar de radio.,You listened to the radio.,Tu écoutais la radio.,Zij luisterden naar de leraar.,They listened to the teacher.,Elles écoutaient le professeur.
💬,praten,to talk,discuter,heeft/hebben gepraat,praatte · praatten,Ik praatte met de buurman.,I talked with the neighbour.,Je parlais avec le voisin.,Wij praatten uren over politiek.,We talked for hours about politics.,Nous avons parlé des heures de politique.
📞,bellen,to call,téléphoner,heeft/hebben gebeld,belde · belden,Ik belde je gisteren.,I called you yesterday.,Je t'ai appelé hier.,Zij belden elke week.,They called every week.,Elles appelaient chaque semaine.
🔎,zoeken,to search,chercher,heeft/hebben gezocht,zocht · zochten,Hij zocht zijn sleutel.,He looked for his key.,Il cherchait sa clé.,Zij zochten een oplossing.,They looked for a solution.,Elles cherchaient une solution.
📥,krijgen,to get,recevoir,heeft/hebben gekregen,kreeg · kregen,Ik kreeg een bericht.,I got a message.,J'ai reçu un message.,Wij kregen goed nieuws.,We got good news.,Nous avons reçu une bonne nouvelle.
🔧,gebruiken,to use,utiliser,heeft/hebben gebruikt,gebruikte · gebruikten,Jij gebruikte mijn pen.,You used my pen.,Tu as utilisé mon stylo.,Zij gebruikten oude kaarten.,They used old maps.,Elles ont utilisé de vieilles cartes.
🧪,proberen,to try,essayer,heeft/hebben geprobeerd,probeerde · probeerden,Ik probeerde het opnieuw.,I tried again.,J'ai réessayé.,Wij probeerden rustig te blijven.,We tried to stay calm.,Nous avons essayé de rester calmes.
🤞,hopen,to hope,espérer,heeft/hebben gehoopt,hoopte · hoopten,Ik hoopte op goed weer.,I hoped for good weather.,J'espérais beau temps.,Zij hoopten op een betere baan.,They hoped for a better job.,Elles espéraient un meilleur emploi.
⛪,geloven,to believe,croire,heeft/hebben geloofd,geloofde · geloofden,Hij geloofde haar verhaal.,He believed her story.,Il croyait son histoire.,Wij geloofden het niet.,We did not believe it.,Nous n'y croyions pas.
💡,begrijpen,to understand,comprendre,heeft/hebben begrepen,begreep · begrepen,Ik begreep de vraag niet.,I did not understand the question.,Je ne comprenais pas la question.,Zij begrepen elkaar goed.,They understood each other well.,Elles se comprenaient bien.
🌫️,vergeten,to forget,oublier,heeft/hebben vergeten,vergat · vergaten,Ik vergat mijn paraplu.,I forgot my umbrella.,J'ai oublié mon parapluie.,Zij vergaten de afspraak.,They forgot the appointment.,Elles ont oublié le rendez-vous.
▶️,beginnen,to begin,commencer,is/zijn begonnen,begon · begonnen,Het begon te regenen.,It started to rain.,Il s'est mis à pleuvoir.,Wij begonnen op tijd.,We started on time.,Nous avons commencé à l'heure.
🍽️,eten,to eat,manger,heeft/hebben gegeten,at · aten,Ik at een broodje kaas.,I ate a cheese sandwich.,J'ai mangé un sandwich au fromage.,Wij aten samen in het restaurant.,We ate together in the restaurant.,Nous avons mangé au restaurant ensemble.
☕,drinken,to drink,boire,heeft/hebben gedronken,dronk · dronken,Hij dronk koffie zonder suiker.,He drank coffee without sugar.,Il buvait son café sans sucre.,Zij dronken water.,They drank water.,Elles buvaient de l'eau.
😴,slapen,to sleep,dormir,heeft/hebben geslapen,sliep · sliepen,Ik sliep slecht vannacht.,I slept badly last night.,J'ai mal dormi cette nuit.,Zij sliepen op de bank.,They slept on the sofa.,Elles dormaient sur le canapé.
🍳,koken,to cook,cuisiner,heeft/hebben gekookt,kookte · kookten,Ik kookte pasta.,I cooked pasta.,J'ai fait des pâtes.,Zij kookten voor twaalf personen.,They cooked for twelve people.,Elles ont cuisiné pour douze personnes.
🆘,helpen,to help,aider,heeft/hebben geholpen,hielp · hielpen,Hij hielp met het huiswerk.,He helped with the homework.,Il aidait pour les devoirs.,Wij hielpen onze buren.,We helped our neighbours.,Nous avons aidé nos voisins.
❓,vragen,to ask,demander,heeft/hebben gevraagd,vroeg · vroegen,Ik vroeg om de weg.,I asked for directions.,J'ai demandé mon chemin.,Zij vroegen naar de prijs.,They asked about the price.,Elles ont demandé le prix.
💬,antwoorden,to answer,répondre,heeft/hebben geantwoord,antwoordde · antwoordden,Jij antwoordde op de mail.,You replied to the email.,Tu as répondu au mail.,Wij antwoordden op alle vragen.,We answered all the questions.,Nous avons répondu à toutes les questions.
📜,vertellen,to tell,raconter,heeft/hebben verteld,vertelde · vertelden,Zij vertelde een verhaal.,She told a story.,Elle racontait une histoire.,Zij vertelden het nieuws.,They told the news.,Elles ont annoncé la nouvelle.
